id,y
0,1
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,0
9,1
10,1
11,0
12,0
13,1
14,0
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,1
37,1
38,0
39,0
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,1
48,0
49,0
50,0
51,0
52,1
53,0
54,1
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,1
70,1
71,0
72,1
73,0
74,1
75,0
76,0
77,1
78,1
79,1
80,1
81,0
82,0
83,1
84,0
85,1
86,0
87,0
88,1
89,1
90,1
91,1
92,0
93,0
94,0
95,0
96,0
97,1
98,1
99,0
100,1
101,0
102,0
103,0
104,0
105,1
106,1
107,1
108,0
109,0
110,1
111,0
112,0
113,1
114,0
115,1
116,0
117,0
118,1
119,0
120,1
121,1
122,1
123,1
124,0
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,1
133,0
134,1
135,0
136,1
137,0
138,0
139,0
140,1
141,1
142,1
143,0
144,1
145,0
146,1
147,1
148,0
149,0
150,0
151,1
152,0
153,1
154,0
155,0
156,1
157,1
158,0
159,1
160,0
161,0
162,1
163,0
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,0
172,1
173,1
174,1
175,0
176,0
177,0
178,1
179,0
180,1
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,1
191,0
192,0
193,0
194,1
195,0
196,1
197,1
198,0
199,1
200,1
201,0
202,0
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,0
212,0
213,1
214,1
215,0
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,1
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,0
268,1
269,1
270,0
271,1
272,1
273,0
274,0
275,0
276,0
277,1
278,1
279,0
280,0
281,0
282,0
283,1
284,0
285,1
286,1
287,1
288,0
289,0
290,1
291,0
292,0
293,1
294,1
295,0
296,1
297,0
298,0
299,0
300,1
301,0
302,0
303,1
304,1
305,0
306,1
307,1
308,0
309,1
310,0
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,0
320,0
321,0
322,0
323,1
324,1
325,1
326,1
327,0
328,0
329,0
330,0
331,0
332,1
333,0
334,0
335,0
336,0
337,1
338,0
339,1
340,0
341,0
342,1
343,1
344,0
345,1
346,1
347,0
348,1
349,0
350,0
351,1
352,1
353,1
354,1
355,0
356,1
357,1
358,1
359,0
360,0
361,1
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,0
371,1
372,1
373,1
374,1
375,0
376,1
377,1
378,0
379,0
380,0
381,0
382,1
383,1
384,1
385,1
386,0
387,0
388,1
389,0
390,0
391,0
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,0
402,0
403,0
404,1
405,1
406,1
407,0
408,1
409,0
410,0
411,0
412,1
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,0
424,1
425,0
426,1
427,1
428,0
429,1
430,0
431,1
432,1
433,1
434,1
435,0
436,0
437,0
438,1
439,1
440,0
441,1
442,0
443,0
444,1
445,0
446,1
447,1
448,0
449,0
450,1
451,1
452,1
453,1
454,1
455,0
456,1
457,1
458,1
459,0
460,1
461,0
462,1
463,0
464,1
465,0
466,1
467,0
468,1
469,0
470,0
471,0
472,1
473,1
474,1
475,0
476,0
477,1
478,0
479,1
480,0
481,1
482,0
483,1
484,1
485,1
486,1
487,0
488,0
489,0
490,1
491,0
492,0
493,1
494,1
495,1
496,0
497,0
498,1
499,0
500,0
501,1
502,1
503,0
504,0
505,0
506,0
507,1
508,1
509,1
510,1
511,1
512,0
513,0
514,1
515,0
516,1
517,0
518,0
519,1
520,1
521,0
522,1
523,1
524,0
525,0
526,1
527,0
528,1
529,1
530,0
531,1
532,0
533,0
534,0
535,0
536,1
537,1
538,1
539,1
540,0
541,1
542,1
543,0
544,0
545,0
546,0
547,0
548,1
549,1
550,0
551,1
552,1
553,0
554,0
555,0
556,0
557,0
558,1
559,1
560,1
561,1
562,1
563,0
564,0
565,0
566,1
567,1
568,0
569,1
570,0
571,1
572,1
573,0
574,1
575,0
576,1
577,1
578,1
579,1
580,1
581,0
582,1
583,1
584,0
585,0
586,0
587,1
588,0
589,1
590,1
591,0
592,0
593,1
594,1
595,0
596,1
597,0
598,1
599,0
600,1
601,0
602,0
603,0
604,0
605,1
606,1
607,1
608,0
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,0
620,1
621,0
622,1
623,0
624,1
625,0
626,1
627,1
628,0
629,1
630,0
631,0
632,1
633,0
634,0
635,0
636,0
637,0
638,0
639,1
640,0
641,1
642,0
643,0
644,1
645,0
646,0
647,0
648,0
649,1
650,0
651,1
652,0
653,0
654,1
655,1
656,1
657,0
658,1
659,0
660,0
661,1
662,0
663,1
664,1
665,0
666,1
667,1
668,0
669,1
670,0
671,0
672,0
673,0
674,1
675,0
676,0
677,1
678,1
679,1
680,1
681,1
682,0
683,0
684,0
685,0
686,0
687,1
688,0
689,0
690,0
691,0
692,1
693,1
694,0
695,0
696,1
697,0
698,0
699,0
700,0
701,0
702,0
703,1
704,1
705,1
706,1
707,0
708,0
709,1
710,1
711,1
712,0
713,1
714,1
715,1
716,0
717,0
718,1
719,0
720,0
721,1
722,0
723,1
724,1
725,1
726,1
727,1
728,1
729,0
730,1
731,1
732,1
733,0
734,0
735,0
736,1
737,0
738,1
739,0
740,1
741,1
742,0
743,1
744,0
745,1
746,1
747,1
748,1
749,1
750,0
751,0
752,0
753,0
754,1
755,1
756,1
757,0
758,1
759,1
760,1
761,1
762,0
763,0
764,0
765,1
766,0
767,0
768,1
769,0
770,1
771,1
772,0
773,1
774,1
775,0
776,0
777,0
778,1
779,1
780,1
781,0
782,0
783,1
784,0
785,0
786,1
787,0
788,0
789,0
790,0
791,1
792,1
793,1
794,0
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,0
804,1
805,0
806,1
807,1
808,0
809,0
810,0
811,0
812,1
813,1
814,0
815,1
816,1
817,1
818,1
819,0
820,0
821,1
822,1
823,1
824,1
825,1
826,1
827,1
828,0
829,0
830,1
831,1
832,0
833,0
834,0
835,1
836,0
837,0
838,1
839,1
840,0
841,1
842,1
843,1
844,0
845,0
846,1
847,1
848,0
849,1
850,0
851,0
852,0
853,1
854,0
855,0
856,0
857,0
858,0
859,0
860,1
861,0
862,1
863,1
864,0
865,0
866,1
867,1
868,1
869,1
870,0
871,1
872,0
873,1
874,0
875,0
876,0
877,0
878,1
879,1
880,0
881,1
882,1
883,0
884,1
885,1
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,1
894,0
895,0
896,0
897,0
898,1
899,0
900,1
901,0
902,1
903,1
904,1
905,1
906,0
907,0
908,0
909,0
910,1
911,0
912,0
913,1
914,1
915,1
916,1
917,1
918,0
919,1
920,1
921,0
922,0
923,0
924,0
925,1
926,0
927,0
928,0
929,1
930,0
931,1
932,1
933,0
934,1
935,1
936,0
937,1
938,1
939,0
940,1
941,1
942,0
943,1
944,0
945,0
946,0
947,0
948,1
949,1
950,1
951,0
952,1
953,0
954,0
955,0
956,1
957,0
958,1
959,0
960,1
961,0
962,1
963,1
964,0
965,1
966,1
967,1
968,0
969,0
970,0
971,1
972,0
973,1
974,1
975,0
976,1
977,1
978,1
979,0
980,1
981,0
982,0
983,1
984,1
985,0
986,0
987,0
988,1
989,0
990,0
991,0
992,1
993,0
994,0
995,0
996,0
997,0
998,1
999,0
